tradingDay,logR,buyP,sellP,ideal
20150814,0.013244897802598151,1.7177285982708081,-2.3586530926465947,0.3099707078001961
20150817,0.02187694499911672,1.7298960552672336,-2.372706300544189,0.2641992716409935
20150818,-0.08363490188456614,0.7147441368464705,-1.3605572105807582,0.2407251437455597
20150819,0.022853849931262948,1.3565484579088594,-1.9902160125015964,0.203277067016452
20150820,-0.04934151613599718,0.058530777658368185,-0.6737048280273432,0.19460730130354012
20150821,-0.07277716576180653,-1.4570679502533301,0.8593111415603677,0.21948971450479787
20150824,-0.10081862346133294,-2.903966029142357,2.3152855998631123,0.27631280199457875
20150825,-0.08259930632190142,-3.9220693758551706,3.3456677710713505,0.35568150900598666
20150826,0.02688435530804389,-3.2027345196010715,2.6308031249190744,0.4192784917010263
20150827,0.06936653499937821,-2.527097441740988,1.9448522656022675,0.4678876933056634
20150828,0.05015684887790437,-2.095658927333115,1.5195205215538163,0.5070785288376403
20150831,-0.002905216056327229,-1.5880799538384491,0.992796231261473,0.5348728831511624
20150901,-0.03871172271089678,-2.342245652992172,1.7474203144241744,0.5792643834541742
20150902,-0.009561566431849477,-2.503775094958161,1.9094113766162768,0.6272150709231512
20150907,-0.02136664974189121,-3.2137289847455115,2.6221055733335628,0.6908176276506091
20150908,0.035074630016823934,-2.606027138797628,2.0118894978115653,0.7410205730123242
20150909,0.038277961209977486,-1.4417189498182843,0.8677066470488105,0.7658502422750926
20150910,-0.014278453678506059,-1.7483887674788092,1.1746241903562682,0.797429620234156
20150911,-0.003561334028603417,-2.0743901768609843,1.5084048968531465,0.8362743807650036
20150914,-0.04871451703074897,-2.2610163153227245,1.6982558632964349,0.879263614277788
20150915,-0.042159346710517236,-2.9801147369900858,2.4217512255465907,0.938125776354248
20150916,0.07312684815179245,-2.3000914623644766,1.7333653691628963,0.9819270754078474
20150917,-0.02277540161441261,-2.9385829120557307,2.3795990291910867,1.0
20150918,0.009775067970773772,-2.8474356443937587,2.2864423857189062,1.0
20150921,0.020554305499633788,-2.882437857737,2.322735834273976,1.0
20150922,0.0011723125730154786,-2.8759299553736595,2.316275536301473,1.0
20150923,-0.0182688641125071,-3.5040421729339912,2.9544508488065535,1.0
20150924,0.005417299897942014,-3.4037170577227887,2.8534961239531547,1.0
20150925,-0.019391811692466576,-3.657750069473079,3.110392757845601,1.0
20150928,0.0414384444759322,-3.1631638888026945,2.6142269349381166,1.0
20150929,-0.011512009638949829,-3.3163335182817404,2.7680449752536256,1.0
20150930,0.027731891737889584,-2.889789525153291,2.3390762906715694,1.0
20151008,0.03827507386966547,-1.886772986779391,1.3544258744756201,1.0
